2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '125', `start` = '12500000', `end` = '0', `remaining_qty` = '0', `default_start` = '12500000', `default_end` = '12599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '126', `start` = '12600000', `end` = '0', `remaining_qty` = '0', `default_start` = '12600000', `default_end` = '12699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '127', `start` = '12700000', `end` = '0', `remaining_qty` = '0', `default_start` = '12700000', `default_end` = '12799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '128', `start` = '12800000', `end` = '0', `remaining_qty` = '0', `default_start` = '12800000', `default_end` = '12899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '129', `start` = '12900000', `end` = '0', `remaining_qty` = '0', `default_start` = '12900000', `default_end` = '12999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '135', `start` = '13500000', `end` = '0', `remaining_qty` = '0', `default_start` = '13500000', `default_end` = '13599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '136', `start` = '13600000', `end` = '0', `remaining_qty` = '0', `default_start` = '13600000', `default_end` = '13699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '137', `start` = '13700000', `end` = '0', `remaining_qty` = '0', `default_start` = '13700000', `default_end` = '13799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '138', `start` = '13800000', `end` = '0', `remaining_qty` = '0', `default_start` = '13800000', `default_end` = '13899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '139', `start` = '13900000', `end` = '0', `remaining_qty` = '0', `default_start` = '13900000', `default_end` = '13999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '145', `start` = '14500000', `end` = '0', `remaining_qty` = '0', `default_start` = '14500000', `default_end` = '14599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '146', `start` = '14600000', `end` = '0', `remaining_qty` = '0', `default_start` = '14600000', `default_end` = '14699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '147', `start` = '14700000', `end` = '0', `remaining_qty` = '0', `default_start` = '14700000', `default_end` = '14799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '148', `start` = '14800000', `end` = '0', `remaining_qty` = '0', `default_start` = '14800000', `default_end` = '14899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '149', `start` = '14900000', `end` = '0', `remaining_qty` = '0', `default_start` = '14900000', `default_end` = '14999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '155', `start` = '15500000', `end` = '0', `remaining_qty` = '0', `default_start` = '15500000', `default_end` = '15599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '156', `start` = '15600000', `end` = '0', `remaining_qty` = '0', `default_start` = '15600000', `default_end` = '15699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '157', `start` = '15700000', `end` = '0', `remaining_qty` = '0', `default_start` = '15700000', `default_end` = '15799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '158', `start` = '15800000', `end` = '0', `remaining_qty` = '0', `default_start` = '15800000', `default_end` = '15899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '159', `start` = '15900000', `end` = '0', `remaining_qty` = '0', `default_start` = '15900000', `default_end` = '15999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '165', `start` = '16500000', `end` = '0', `remaining_qty` = '0', `default_start` = '16500000', `default_end` = '16599999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '166', `start` = '16600000', `end` = '0', `remaining_qty` = '0', `default_start` = '16600000', `default_end` = '16699999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '167', `start` = '16700000', `end` = '0', `remaining_qty` = '0', `default_start` = '16700000', `default_end` = '16799999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '168', `start` = '16800000', `end` = '0', `remaining_qty` = '0', `default_start` = '16800000', `default_end` = '16899999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
2020-12-22 11:43:04 : insert into mb_master_group set `id_user` = '1', `group_code` = '169', `start` = '16900000', `end` = '0', `remaining_qty` = '0', `default_start` = '16900000', `default_end` = '16999999', `default_range` = '100000', `barcode_use` = '0', `config_remaining` = '100000', `del` = '0', `date_added` = '2020-12-22 11:43:04', `date_modify` = '2020-12-22 11:43:04'
